index,card_id,card_name,card_number,set_id,set_name,card_market_value
2202,base4-42,Growlithe,42,base4,Base Set 2,1.22
2203,base4-33,Arcanine,33,base4,Base Set 2,1.83
2204,base4-25,Electrode,25,base4,Base Set 2,3.83
2205,base4-24,Electabuzz,24,base4,Base Set 2,3.22
2206,base4-124,Double Colorless Energy,124,base4,Base Set 2,2.0
2207,base4-116,Professor Oak,116,base4,Base Set 2,1.35
2208,base4-118,Bill,118,base4,Base Set 2,0.32
2209,base4-119,Energy Removal,119,base4,Base Set 2,0.28
111,base1-1,Alakazam,1,base1,Base,54.22
112,base1-2,Blastoise,2,base1,Base,161.19
113,base1-3,Chansey,3,base1,Base,22.77
114,base1-4,Charizard,4,base1,Base,455.39
115,base1-5,Clefairy,5,base1,Base,25.24
116,base1-6,Gyarados,6,base1,Base,33.99
117,base1-7,Hitmonchan,7,base1,Base,18.85
118,base1-8,Machamp,8,base1,Base,0.0
119,base1-9,Magneton,9,base1,Base,16.06
121,base1-10,Mewtwo,10,base1,Base,41.19
122,base1-11,Nidoking,11,base1,Base,26.81
123,base1-12,Ninetales,12,base1,Base,21.98
124,base1-13,Poliwrath,13,base1,Base,19.18
125,base1-14,Raichu,14,base1,Base,43.28
126,base1-15,Venusaur,15,base1,Base,118.55
127,base1-16,Zapdos,16,base1,Base,38.42
128,base1-17,Beedrill,17,base1,Base,4.67
129,base1-18,Dragonair,18,base1,Base,11.78
131,base1-19,Dugtrio,19,base1,Base,6.8
132,base1-20,Electabuzz,20,base1,Base,7.56
133,base1-21,Electrode,21,base1,Base,6.76
134,base1-22,Pidgeotto,22,base1,Base,9.09
135,base1-23,Arcanine,23,base1,Base,4.51
136,base1-24,Charmeleon,24,base1,Base,1.82
137,base1-25,Dewgong,25,base1,Base,2.19
138,base1-26,Dratini,26,base1,Base,1.62
139,base1-27,Farfetch'd,27,base1,Base,1.11
141,base1-28,Growlithe,28,base1,Base,1.1
142,base1-29,Haunter,29,base1,Base,1.61
143,base1-30,Ivysaur,30,base1,Base,2.84
144,base1-31,Jynx,31,base1,Base,0.75
145,base1-32,Kadabra,32,base1,Base,1.44
146,base1-33,Kakuna,33,base1,Base,1.04
147,base1-34,Machoke,34,base1,Base,0.82
148,base1-35,Magikarp,35,base1,Base,2.61
149,base1-36,Magmar,36,base1,Base,2.61
151,base1-37,Nidorino,37,base1,Base,1.98
152,base1-38,Poliwhirl,38,base1,Base,1.27
153,base1-39,Porygon,39,base1,Base,2.41
154,base1-40,Raticate,40,base1,Base,2.16
155,base1-41,Seel,41,base1,Base,1.22
156,base1-42,Wartortle,42,base1,Base,3.62
157,base1-43,Abra,43,base1,Base,0.73
158,base1-44,Bulbasaur,44,base1,Base,2.23
159,base1-45,Caterpie,45,base1,Base,1.37
161,base1-46,Charmander,46,base1,Base,1.87
162,base1-47,Diglett,47,base1,Base,0.55
163,base1-48,Doduo,48,base1,Base,1.13
164,base1-49,Drowzee,49,base1,Base,0.61
165,base1-50,Gastly,50,base1,Base,0.73
166,base1-51,Koffing,51,base1,Base,0.59
167,base1-52,Machop,52,base1,Base,0.4
168,base1-53,Magnemite,53,base1,Base,0.61
169,base1-54,Metapod,54,base1,Base,0.78
171,base1-55,Nidoran ♂,55,base1,Base,0.72
172,base1-56,Onix,56,base1,Base,0.8
173,base1-57,Pidgey,57,base1,Base,1.42
174,base1-58,Pikachu,58,base1,Base,3.9
175,base1-59,Poliwag,59,base1,Base,0.54
176,base1-60,Ponyta,60,base1,Base,0.43
177,base1-61,Rattata,61,base1,Base,0.75
178,base1-62,Sandshrew,62,base1,Base,0.78
179,base1-63,Squirtle,63,base1,Base,3.24
181,base1-64,Starmie,64,base1,Base,0.66
182,base1-65,Staryu,65,base1,Base,0.43
183,base1-66,Tangela,66,base1,Base,0.74
184,base1-67,Voltorb,67,base1,Base,1.71
185,base1-68,Vulpix,68,base1,Base,0.72
186,base1-69,Weedle,69,base1,Base,0.57
187,base1-70,Clefairy Doll,70,base1,Base,6.35
188,base1-71,Computer Search,71,base1,Base,3.87
189,base1-72,Devolution Spray,72,base1,Base,4.8
191,base1-73,Impostor Professor Oak,73,base1,Base,6.17
192,base1-74,Item Finder,74,base1,Base,8.96
193,base1-75,Lass,75,base1,Base,2.77
194,base1-76,Pokémon Breeder,76,base1,Base,7.83
195,base1-77,Pokémon Trader,77,base1,Base,5.06
196,base1-78,Scoop Up,78,base1,Base,8.01
197,base1-79,Super Energy Removal,79,base1,Base,4.56
198,base1-80,Defender,80,base1,Base,1.56
199,base1-81,Energy Retrieval,81,base1,Base,0.66
1101,base1-82,Full Heal,82,base1,Base,1.97
1102,base1-83,Maintenance,83,base1,Base,2.67
1103,base1-84,PlusPower,84,base1,Base,0.66
1104,base1-85,Pokémon Center,85,base1,Base,1.83
1105,base1-86,Pokémon Flute,86,base1,Base,2.71
1106,base1-87,Pokédex,87,base1,Base,0.64
1107,base1-88,Professor Oak,88,base1,Base,1.53
1108,base1-89,Revive,89,base1,Base,2.43
1109,base1-90,Super Potion,90,base1,Base,0.34
1111,base1-91,Bill,91,base1,Base,0.46
1112,base1-92,Energy Removal,92,base1,Base,0.45
1113,base1-93,Gust of Wind,93,base1,Base,0.27
1114,base1-94,Potion,94,base1,Base,0.33
1115,base1-95,Switch,95,base1,Base,0.38
1116,base1-96,Double Colorless Energy,96,base1,Base,5.29
1117,base1-97,Fighting Energy,97,base1,Base,0.4
1118,base1-98,Fire Energy,98,base1,Base,0.43
1119,base1-99,Grass Energy,99,base1,Base,0.28
1121,base1-100,Lightning Energy,100,base1,Base,0.47
1122,base1-101,Psychic Energy,101,base1,Base,0.44
1123,base1-102,Water Energy,102,base1,Base,0.42
1124,base1-4,Charizard,4,base1,Base,455.39
1125,base1-2,Blastoise,2,base1,Base,161.19
1126,base1-15,Venusaur,15,base1,Base,118.55
1127,base1-10,Mewtwo,10,base1,Base,41.19
1128,base1-16,Zapdos,16,base1,Base,38.42
1129,base1-14,Raichu,14,base1,Base,43.28
1131,base1-1,Alakazam,1,base1,Base,54.22
1132,base1-3,Chansey,3,base1,Base,22.77
1133,base1-12,Ninetales,12,base1,Base,21.98
1134,base1-8,Machamp,8,base1,Base,0.0
1135,base1-4,Charizard,4,base1,Base,455.39
1136,base1-10,Mewtwo,10,base1,Base,41.19
1137,base1-58,Pikachu,58,base1,Base,3.9
1138,base1-44,Bulbasaur,44,base1,Base,2.23
1139,base1-46,Charmander,46,base1,Base,1.87
1141,base1-63,Squirtle,63,base1,Base,3.24
1142,base1-57,Pidgey,57,base1,Base,1.42
1143,base1-61,Rattata,61,base1,Base,0.75
1144,base1-5,Clefairy,5,base1,Base,25.24
1145,base1-31,Jynx,31,base1,Base,0.75
1146,base1-35,Magikarp,35,base1,Base,2.61
1147,base1-43,Abra,43,base1,Base,0.73
1148,base1-52,Machop,52,base1,Base,0.4
1149,base1-53,Magnemite,53,base1,Base,0.61
1151,base1-51,Koffing,51,base1,Base,0.59
1152,base1-50,Gastly,50,base1,Base,0.73
1153,base1-68,Vulpix,68,base1,Base,0.72
1154,base1-60,Ponyta,60,base1,Base,0.43
1155,base1-49,Drowzee,49,base1,Base,0.61
1156,base1-47,Diglett,47,base1,Base,0.55
1157,base1-69,Weedle,69,base1,Base,0.57
1158,base1-45,Caterpie,45,base1,Base,1.37
1159,base1-55,Nidoran ♂,55,base1,Base,0.72
1161,base1-59,Poliwag,59,base1,Base,0.54
1162,base1-38,Poliwhirl,38,base1,Base,1.27
1163,base1-30,Ivysaur,30,base1,Base,2.84
1164,base1-42,Wartortle,42,base1,Base,3.62
1165,base1-24,Charmeleon,24,base1,Base,1.82
1166,base1-32,Kadabra,32,base1,Base,1.44
1167,base1-34,Machoke,34,base1,Base,0.82
1168,base1-33,Kakuna,33,base1,Base,1.04
1169,base1-54,Metapod,54,base1,Base,0.78
1171,base1-18,Dragonair,18,base1,Base,11.78
1172,base1-26,Dratini,26,base1,Base,1.62
1173,base1-28,Growlithe,28,base1,Base,1.1
1174,base1-23,Arcanine,23,base1,Base,4.51
1175,base1-21,Electrode,21,base1,Base,6.76
1176,base1-20,Electabuzz,20,base1,Base,7.56
1177,base1-64,Starmie,64,base1,Base,0.66
1178,base1-65,Staryu,65,base1,Base,0.43
1179,base1-96,Double Colorless Energy,96,base1,Base,5.29
1181,base1-88,Professor Oak,88,base1,Base,1.53
1182,base1-91,Bill,91,base1,Base,0.46
1183,base1-92,Energy Removal,92,base1,Base,0.45
1184,base1-87,Pokédex,87,base1,Base,0.64
1185,base1-95,Switch,95,base1,Base,0.38
1186,base1-94,Potion,94,base1,Base,0.33
1187,base1-90,Super Potion,90,base1,Base,0.34
1188,base1-85,Pokémon Center,85,base1,Base,1.83
1189,base1-81,Energy Retrieval,81,base1,Base,0.66
1191,base1-98,Fire Energy,98,base1,Base,0.43
1192,base1-100,Lightning Energy,100,base1,Base,0.47
1193,base1-102,Water Energy,102,base1,Base,0.42
1194,base1-99,Grass Energy,99,base1,Base,0.28
1195,base1-101,Psychic Energy,101,base1,Base,0.44
1196,base1-97,Fighting Energy,97,base1,Base,0.4
1197,base1-96,Double Colorless Energy,96,base1,Base,5.29
1198,base1-4,Charizard,4,base1,Base,455.39
1199,base1-2,Blastoise,2,base1,Base,161.19
1201,base1-15,Venusaur,15,base1,Base,118.55
1202,base1-10,Mewtwo,10,base1,Base,41.19
1203,base1-16,Zapdos,16,base1,Base,38.42
1204,base1-6,Gyarados,6,base1,Base,33.99
1205,base1-13,Poliwrath,13,base1,Base,19.18
1206,base1-11,Nidoking,11,base1,Base,26.81
1207,base1-7,Hitmonchan,7,base1,Base,18.85
1208,base1-9,Magneton,9,base1,Base,16.06
1209,base1-3,Chansey,3,base1,Base,22.77
